round,phase,dataset,model,split,B,E,client_id,train_loss,global_loss,accuracy,macro_f1,train_time,eval_time,bytes_sent,bytes_recv,samples,status,pi_temp,pi_throttled
1,train,mnist,tinycnn_mnist,dirichlet,16,1,pi0,0.46458358737683175,,,,12.07712677500001,,429830,430139,3393,ok,temp=66.7'C,throttled=0x0
1,train,mnist,tinycnn_mnist,dirichlet,16,1,pi1,0.7243768497027228,,,,25.150225632,,429830,429800,6607,ok,temp=78.4'C,throttled=0x0
1,eval,mnist,tinycnn_mnist,dirichlet,16,1,server,,0.7373242974281311,0.849,0.8458153292431284,,0.30924030000096536,859660,859939,,,,
2,train,mnist,tinycnn_mnist,dirichlet,16,1,pi0,0.16166988911150826,,,,11.55489430099999,,859660,860186,3393,ok,temp=66.7'C,throttled=0x0
2,train,mnist,tinycnn_mnist,dirichlet,16,1,pi1,0.2646749724383224,,,,24.803106318999994,,859660,859514,6607,ok,temp=79.8'C,throttled=0x0
2,eval,mnist,tinycnn_mnist,dirichlet,16,1,server,,0.25561710631847384,0.93,0.9243212276260195,,0.30465259999982663,1719320,1719700,,,,
3,train,mnist,tinycnn_mnist,dirichlet,16,1,pi0,0.1167381660231357,,,,11.53006075799999,,1289490,1290232,3393,ok,temp=68.6'C,throttled=0x0
3,train,mnist,tinycnn_mnist,dirichlet,16,1,pi1,0.1960060475637638,,,,25.49961861299994,,1289490,1289231,6607,ok,temp=82.3'C,throttled=0x80000
3,eval,mnist,tinycnn_mnist,dirichlet,16,1,server,,0.18433091732114554,0.949,0.9473323781629013,,0.29624669999975595,2578980,2579463,,,,
4,train,mnist,tinycnn_mnist,dirichlet,16,1,pi0,0.10403692288691496,,,,11.457636788000059,,1719320,1720280,3393,ok,temp=68.6'C,throttled=0x0
4,train,mnist,tinycnn_mnist,dirichlet,16,1,pi1,0.22134151063097998,,,,25.17362965999996,,1719320,1718949,6607,ok,temp=82.7'C,throttled=0x80008
4,eval,mnist,tinycnn_mnist,dirichlet,16,1,server,,0.16600908855721355,0.952,0.9501304550076034,,3.7043671999999788,3438640,3439229,,,,
5,train,mnist,tinycnn_mnist,dirichlet,16,1,pi0,0.09690883918017526,,,,11.745956288000002,,2149150,2150328,3393,ok,temp=69.1'C,throttled=0x0
5,train,mnist,tinycnn_mnist,dirichlet,16,1,pi1,0.16169915776346325,,,,25.140809183999977,,2149150,2148668,6607,ok,temp=83.2'C,throttled=0x80008
5,eval,mnist,tinycnn_mnist,dirichlet,16,1,server,,0.15987750809639692,0.954,0.9520874553193469,,1.499376100000518,4298300,4298996,,,,
6,train,mnist,tinycnn_mnist,dirichlet,16,1,pi0,0.08415540826607211,,,,11.513964213000008,,2578980,2580376,3393,ok,temp=69.1'C,throttled=0x0
6,train,mnist,tinycnn_mnist,dirichlet,16,1,pi1,0.13981132859718526,,,,25.672755646999917,,2578980,2578387,6607,ok,temp=83.2'C,throttled=0x80008
6,eval,mnist,tinycnn_mnist,dirichlet,16,1,server,,0.1242356634773314,0.969,0.9684929637112812,,7.680656699998508,5157960,5158763,,,,
7,train,mnist,tinycnn_mnist,dirichlet,16,1,pi0,0.07919854972879947,,,,11.505274146000033,,3008810,3010424,3393,ok,temp=69.1'C,throttled=0x0
7,train,mnist,tinycnn_mnist,dirichlet,16,1,pi1,0.1357191815479215,,,,24.96087478800007,,3008810,3008104,6607,ok,temp=82.7'C,throttled=0x80008
7,eval,mnist,tinycnn_mnist,dirichlet,16,1,server,,0.26957612758362665,0.931,0.9298184291996604,,0.3223961000003328,6017620,6018528,,,,
8,train,mnist,tinycnn_mnist,dirichlet,16,1,pi0,0.09135538235499839,,,,11.566600246000007,,3438640,3440472,3393,ok,temp=68.6'C,throttled=0x0
8,train,mnist,tinycnn_mnist,dirichlet,16,1,pi1,0.12332114469349768,,,,25.619857641999943,,3438640,3437823,6607,ok,temp=83.2'C,throttled=0x80008
8,eval,mnist,tinycnn_mnist,dirichlet,16,1,server,,0.14496344673074782,0.957,0.9560056046966492,,6.638634399998409,6877280,6878295,,,,
9,train,mnist,tinycnn_mnist,dirichlet,16,1,pi0,0.05540829276986824,,,,11.44858054100007,,3868470,3870519,3393,ok,temp=69.6'C,throttled=0x0
9,train,mnist,tinycnn_mnist,dirichlet,16,1,pi1,0.11256923758129789,,,,25.196812824999938,,3868470,3867542,6607,ok,temp=83.2'C,throttled=0x80008
9,eval,mnist,tinycnn_mnist,dirichlet,16,1,server,,0.20923316312767565,0.946,0.9451143646864224,,0.3038019000014174,7736940,7738061,,,,
10,train,mnist,tinycnn_mnist,dirichlet,16,1,pi0,0.08542959640397724,,,,11.560536487999912,,4298301,4300568,3393,ok,temp=69.6'C,throttled=0x0
10,train,mnist,tinycnn_mnist,dirichlet,16,1,pi1,0.09660993925919359,,,,26.15521091700009,,4298301,4297261,6607,ok,temp=83.2'C,throttled=0xe0008
10,eval,mnist,tinycnn_mnist,dirichlet,16,1,server,,0.11051102153025567,0.965,0.9642540643372788,,0.32752289999916684,8596602,8597829,,,,
